grp,name
blue_yellow_red,BlueWhiteOrangeRed
blue_yellow_red,BlueYellowRed
blue_yellow_red,cmp_b2r
blue_yellow_red,cmp_flux
blue_yellow_red,GMT_jet
blue_yellow_red,GMT_no_green
blue_yellow_red,GMT_panoply
blue_yellow_red,MPL_RdYlBu
blue_yellow_red,ncl_default
blue_yellow_red,nrl_sirkes
blue_yellow_red,nrl_sirkes_nowhite
blue_yellow_red,UKM_hadcrut
blue,cmocean_ice
blue,MPL_Blues
blue,MPL_PuBu
blue,WhiteBlue
purple,MPL_BuPu
purple,MPL_Purples
green,cmocean_algae
green,cmocean_tempo
green,MPL_BuGn
green,MPL_Greens
green,WhiteGreen
gray,cmocean_gray
gray,GMT_gray
gray,GMT_relief_oceanonly
gray,GrayWhiteGray
gray,gscyclic
gray,gsdtol
gray,gsltod
gray,mch_default
gray,MPL_gist_gray
gray,MPL_gist_yarg
gray,MPL_Greys
gray,MPL_RdGy
gray,wxpEnIR
banded,3gauss
banded,3saw
banded,cb_9step
banded,detail
banded,extrema
banded,matlab_lines
banded,MPL_StepSeq
banded,NCV_banded
banded,NCV_manga
banded,NCV_roullet
banded,psgcap
banded,StepSeq25
banded,SVG_Gallet13
banded,SVG_Lindaa06
banded,SVG_Lindaa07
banded,uniform
faded,CBR_set3
faded,GMT_topo
faded,MPL_Accent
faded,MPL_Dark2
faded,MPL_Paired
faded,MPL_Pastel1
faded,MPL_Pastel2
faded,MPL_Set1
faded,MPL_Set2
faded,MPL_Set3
faded,SVG_feb_sunrise
faded,SVG_foggy_sunrise
circular,circular_0
circular,circular_1
circular,circular_2
circular,cmocean_phase
circular,GrayWhiteGray
circular,matlab_lines
miscellaneous,default
miscellaneous,helix
miscellaneous,hlu_default
miscellaneous,lithology
miscellaneous,thelix
vegetation,MPL_BrBG
vegetation,NEO_div_vegetation_a
vegetation,NEO_div_vegetation_b
vegetation,NEO_div_vegetation_c
vegetation,NEO_modis_ndvi
vegetation,NOC_ndvi
vegetation,vegetation_ClarkU
vegetation,vegetation_modis
white-in-the-middle,BlAqGrWh2YeOrReVi22
white-in-the-middle,BlueDarkRed18
white-in-the-middle,BlueWhiteOrangeRed
white-in-the-middle,BlWhRe
white-in-the-middle,CBR_coldhot
white-in-the-middle,CBR_drywet
white-in-the-middle,circular_0
white-in-the-middle,cmocean_balance
white-in-the-middle,cmocean_curl
white-in-the-middle,cmp_flux
white-in-the-middle,GMT_polar
white-in-the-middle,GMT_red2green
white-in-the-middle,GrayWhiteGray
white-in-the-middle,GreenMagenta16
white-in-the-middle,hotcold_18lev
white-in-the-middle,hotcolr_19lev
white-in-the-middle,MPL_BrBG
white-in-the-middle,MPL_bwr
white-in-the-middle,MPL_PiYG
white-in-the-middle,MPL_PRGn
white-in-the-middle,MPL_PuOr
white-in-the-middle,MPL_RdBu
white-in-the-middle,MPL_RdGy
white-in-the-middle,MPL_seismic
white-in-the-middle,NCV_blu_red
white-in-the-middle,NCV_blue_red
white-in-the-middle,NCV_jaisnd
white-in-the-middle,NCV_manga
white-in-the-middle,NCV_roullet
white-in-the-middle,NEO_div_vegetation_b
white-in-the-middle,NEO_div_vegetation_c
white-in-the-middle,nrl_sirkes
white-in-the-middle,precip4_diff_19lev
white-in-the-middle,precip_diff_12lev
white-in-the-middle,sunshine_diff_12lev
white-in-the-middle,temp_19lev
white-in-the-middle,temp_diff_18lev
white-in-the-middle,testcmap
white-in-the-middle,ViBlGrWhYeOrRe
starts-with-white,CBR_wet
starts-with-white,mch_default
starts-with-white,posneg_1
starts-with-white,posneg_2
starts-with-white,prcp_1
starts-with-white,prcp_3
starts-with-white,precip2_15lev
starts-with-white,precip2_17lev
starts-with-white,precip3_16lev
starts-with-white,precip_11lev
starts-with-white,spread_15lev
starts-with-white,sunshine_9lev
starts-with-white,wh-bl-gr-ye-re
starts-with-white,WhBlGrYeRe
starts-with-white,WhBlReWh
starts-with-white,WhiteBlue
starts-with-white,WhiteBlueGreenYellowRed
starts-with-white,WhiteGreen
starts-with-white,WhiteYellowOrangeRed
starts-with-white,WhViBlGrYeOrRe
starts-with-white,WhViBlGrYeOrReWh
starts-with-white,wind_17lev
gmt,GMT_cool
gmt,GMT_copper
gmt,GMT_drywet
gmt,GMT_gebco
gmt,GMT_globe
gmt,GMT_gray
gmt,GMT_haxby
gmt,GMT_hot
gmt,GMT_jet
gmt,GMT_nighttime
gmt,GMT_no_green
gmt,GMT_ocean
gmt,GMT_paired
gmt,GMT_panoply
gmt,GMT_polar
gmt,GMT_red2green
gmt,GMT_relief
gmt,GMT_relief_oceanonly
gmt,GMT_seis
gmt,GMT_split
gmt,GMT_topo
gmt,GMT_wysiwyg
gmt,GMT_wysiwygcont
grads,grads_default
grads,grads_rainbow
